gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
ACCS,0.9720323972857027,0.9806062568201623,0.991256572681616,0.9339446187708972,0.006869581848150119,6,0,0,0.03029682514255405,12.34978801367106
ACCSL,2.073315890170426,2.148089814615535,0.965190503704105,0.5941449196435767,0.2839175763874664,6,0,0,0.007077490171569001,15.91957212794659
ACD,1.91334289940518,2.021650273151637,0.9464262562200672,0.4496696466646158,0.5714844276953954,6,0,1,4.669123841083422e-05,27.44617977632151
ACE,0.635686639098922,0.750043662585303,0.8475328448317165,0.02443351902848678,5.063593915510864,6,0,0,0.001159268707037309,20.17378986786207
ACE2,0.938069585482617,0.9384961636194535,0.9995454662966428,1,-0.001210847200127319,6,0,0,0.001306938685134762,19.89637296479486
ACER1,0.7509460303224031,1.040721007428933,0.7215632479424919,0.071019353372058,3.259301937298005,5,0,0,0.8728912448604662,1.231466162151264
ACER2,0.3418501111143181,0.1151401796641253,2.968990600080067,1.622526912792299e-05,18.58783445071458,6,0,1,0.0001495964947416661,24.84008831181109
ACER3,0.2588991623029559,0.3228756966635295,0.8018539796532166,0.379614735919965,0.7719491692378142,6,0,0,0.6997148154826232,3.001757814240591
ACHE,0.4713159717863113,0.5055882318797909,0.932213097670303,0.6009770130815801,0.2735248517637956,6,0,0,0.1124270908931945,8.916848976172332
ACIN1,0.4227035395295866,0.4395634960476807,0.9616438656310413,0.6475930382934771,0.2089482097508153,6,0,0,0.02165559148668028,13.19071901731513
ACLY,0.1103091143148226,0.1090194354519683,1.0118298068368048,1,-0.01683684449199063,6,0,0,0.0044819552905353,17.00942582563766
ACMSD,0.2617787138529117,0.3671595397847257,0.7129835547958218,0.0977317534883968,2.742173532311426,6,0,0,0.8914328071867396,1.679815330335259
